Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
8008;Rispolept Consta;Risperidonum;mikrokapsułki o przedłużonym uwalnianiu i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;37,5 mg;"1 zestaw (1 fiol. + 1 strzyk. + 2 igły)
1 zestaw (1-fiol. + 1-strzyk + 1 urządzenie + 2-igły)";"Rp

Rp";"5909991058111

5909991058128";Janssen Pharmaceutica N.V.;B
8009;Rispolept Consta;Risperidonum;mikrokapsułki o przedłużonym uwalnianiu i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;50 mg;"1 zestaw (1 fiol. + 1 strzyk. + 2 igły)
1 zestaw (1-fiol. + 1-strzyk + 1 urządzenie + 2-igły)";"Rp

Rp";"5909991058012

5909991058029";Janssen Pharmaceutica N.V.;B
8010;Rispolux;Risperidonum;lamelki rozpadające się w jamie ustnej;1 mg;"28 szt.
30 szt.";"Rp
Rp";"5909990836765
5909990836772";HEXAL AG;D
8011;Rispolux;Risperidonum;lamelki rozpadające się w jamie ustnej;2 mg;"28 szt.
30 szt.";"Rp
Rp";"5909990836789
5909990836796";HEXAL AG;D
8012;Rispolux;Risperidonum;lamelki rozpadające się w jamie ustnej;3 mg;"28 szt.
30 szt.";"Rp
Rp";"5909990836802
5909990836840";HEXAL AG;D
8013;Rispolux;Risperidonum;tabletki powlekane;1 mg;"20 tabl.
50 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990335121
5909990335138
5909990335145
5909990335152";"LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
Salutas Pharma GmbH
Salutas Pharma GmbH";"PL
SLO
SLO
D
D"
8014;Rispolux;Risperidonum;tabletki powlekane;2 mg;"20 tabl.
50 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990334438
5909990334445
5909990334452
5909990334469";"LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
S.C.Sandoz S.R.L.
Salutas Pharma GmbH
Salutas Pharma GmbH";"PL
SLO
SLO
RO
D
D"
8015;Rispolux;Risperidonum;tabletki powlekane;3 mg;"20 tabl.
50 tabl.
60 tabl.";"Rp
Rp
Rp";"5909990334568
5909990334575
5909990334582";"LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
S.C.Sandoz S.R.L.
Salutas Pharma GmbH
Salutas Pharma GmbH
Sandoz Pharmaceuticals GmbH";"PL
SLO
SLO
RO
D
D
D"
8016;Rispolux;Risperidonum;tabletki powlekane;4 mg;"20 tabl.
50 tabl.
60 tabl.";"Rp
Rp
Rp";"5909990334599
5909990334605
5909990334629";"LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
S.C.Sandoz S.R.L.
Salutas Pharma GmbH
Salutas Pharma GmbH";"PL
SLO
SLO
RO
D
D"
8017;Risset 1 mg;Risperidonum;tabletki powlekane;1 mg;"20 tabl.
60 tabl.";"Rp
Rp";"5909990996414
5909990996421";Teva Pharmaceutical Works Private Limited Company;H
8018;Risset 2 mg;Risperidonum;tabletki powlekane;2 mg;"20 tabl.
60 tabl.";"Rp
Rp";"5909990996513
5909990996520";Teva Pharmaceutical Works Private Limited Company;H
8019;Risset 3 mg;Risperidonum;tabletki powlekane;3 mg;"20 tabl.
60 tabl.";"Rp
Rp";"5909990996612
5909990996629";Teva Pharmaceutical Works Private Limited Company;H
8020;Risset 4 mg;Risperidonum;tabletki powlekane;4 mg;"20 tabl.
60 tabl.";"Rp
Rp";"5909990996711
5909990996728";Teva Pharmaceutical Works Private Limited Company;H
8021;Ristidic;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990782048
5909990782055
5909990782062";"Genepharm S.A.
ICN Polfa Rzeszów S.A.";"GR
PL"
8022;Ristidic;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990782079
5909990782086
5909990782093";"Genepharm S.A.
ICN Polfa Rzeszów S.A.";"GR
PL"
8023;Ristidic;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990782147
5909990782154
5909990782161";"Genepharm S.A.
ICN Polfa Rzeszów S.A.";"GR
PL"
8024;Ristidic;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990782178
5909990782185
5909990782192";"Genepharm S.A.
ICN Polfa Rzeszów S.A.";"GR
PL"
8025;Ritmorest;Pramipexolum;tabletki;0,088 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990799176
5909990799183";"Gedeon Richter Plc.
Gedeon Richter Romania S.A.";"H
RO"
8026;Ritmorest;Pramipexolum;tabletki;0,18 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990799190
5909990799206";"Gedeon Richter Plc.
Gedeon Richter Romania S.A.";"H
RO"
8027;Ritmorest;Pramipexolum;tabletki;0,35 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990799268
5909990799275";"Gedeon Richter Plc.
Gedeon Richter Romania S.A.";"H
RO"
8028;Ritmorest;Pramipexolum;tabletki;0,7 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990799282
5909990799299";"Gedeon Richter Plc.
Gedeon Richter Romania S.A.";"H
RO"
8029;Ritmorest;Pramipexolum;tabletki;1,1 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990799305
5909990799336";"Gedeon Richter Plc.
Gedeon Richter Romania S.A.";"H
RO"
8030;Rivaldo;Rivastigminum;kapsułki twarde;1,5 mg;28 kaps.;Rp;5909990816200;Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
8031;Rivaldo;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990816248
5909990816255";Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
8032;Rivaldo;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990816262
5909990816279";Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
8033;Rivaldo;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990816286
5909990816293";Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
8034;Rivalong;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps. (2 x 14)
28 kaps. (4 x 7)
56 kaps. (4 x 14)
56 kaps. (8 x 7)
98 kaps. (14 x 7)
98 kaps. (7 x 14)";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990753758
5909990753741
5909990753772
5909990753765
5909990753789
5909990753796";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8035;Rivalong;Rivastigminum;kapsułki twarde;3 mg;"28 kaps. (2 x 14)
28 kaps. (4 x 7)
56 kaps. (4 x 14)
56 kaps. (8 x 7)
98 kaps. (14 x 7)
98 kaps. (7 x 14)";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990754281
5909990754274
5909990754304
5909990754298
5909990754328
5909990754335";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8036;Rivalong;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps. (2 x 14)
28 kaps. (4 x 7)
56 kaps. (4 x 14)
56 kaps. (8 x 7)
98 kaps. (14 x 7)
98 kaps. (7 x 14)";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990754359
5909990754342
5909990754373
5909990754366
5909990754380
5909990754397";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8037;Rivalong;Rivastigminum;kapsułki twarde;6 mg;"28 kaps. (2 x 14)
28 kaps. (4 x 7)
56 kaps. (4 x 14)
56 kaps. (8 x 7)
98 kaps. (14 x 7)
98 kaps. (7 x 14)";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990754410
5909990754403
5909990754434
5909990754427
5909990754441
5909990754458";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8038;Rivanol 0,1%;Ethacridini lactas;płyn na skórę;0,1%;"1 butelka 50 g
1 butelka 100 g
1 butelka 150 g
1 butelka 200 g
1 butelka 250 g
1 butelka 500 g
1 butelka 1000 g";"OTC
OTC
OTC
OTC
OTC
OTC
OTC";"5909990324033
5909990324040
5909990324057
5909990324064
5909990324071
5909990324088
5909990324095";Farmaceutyczne Przedsiębiorstwo Produkcyjno-Analityczno-Handlowe PROLAB Halkiewicz i Ratajczyk sp.j., Paterek;PL
8039;Rivanol 0,1 % COEL;Ethacridini lactas;płyn na skórę;1 mg;"1 butelka 5 g
1 butelka 100 g
1 butelka 250 g
1 butelka 500 g
1 butelka 1000 g";"OTC
OTC
OTC
OTC
OTC";"5909990213993
5909990213948
5909990213955
5909990213979
5909990213986";Wytwórnia Euceryny Laboratorium Farmaceutyczne COEL Spółka Jawna E.Z.M. Konstanty;PL
8040;Rivanolum roztwór 0,1%;Ethacridini lactas;płyn na skórę;0,1%;"1 butelka 100 ml
1 butelka 250 ml";"OTC
OTC";"5909990031795
5909990031801";Zakład Farmaceutyczny AMARA Sp. z o.o.;PL
8041;Rivanolum VP;Ethacridini lactas;tabletki do sporządzania roztworu;100 mg;"5 tabl.
10 tabl.";"OTC
OTC";"5909990052417
5909990052424";ICN Polfa Rzeszów S.A.;PL
8042;Rivastigmin Orion;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990778898
5909990778904";Orion Corporation;FIN
8043;Rivastigmin Orion;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990778935
5909990778942
5909990778959";Orion Corporation;FIN
8044;Rivastigmin Orion;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990778966
5909990778973
5909990778980";Orion Corporation;FIN
8045;Rivastigmin Orion;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990778997
5909990779000
5909990779031";Orion Corporation;FIN
8046;Rivastigmin Stada;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps. (4 x 7)
28 kaps. (4 x 7)
56 kaps. (8 x 7)
56 kaps. (8 x 7)";"Rp
Rp
Rp
Rp";"5909990768202
5909990768233
5909990768240
5909990768257";"Aliud Pharma GmbH & Co. KG
Centrafarm Services B.V.
Eurogenerics NV
Genus Pharmaceuticals Ltd
Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.
PharmaCoDane ApS,
STADA Arzneimittel AG
STADA Arzneimittel GmbH
Stada Production Ireland Ltd";"D
NL
B
GB
PL
E

DK
D
A
IRL"
8047;Rivastigmin Stada;Rivastigminum;kapsułki twarde;3 mg;"28 kaps. (4 x 7)
28 kaps. (4 x 7)
56 kaps. (8 x 7)
56 kaps. (8 x 7)";"Rp
Rp
Rp
Rp";"5909990768264
5909990768271
5909990768288
5909990768295";"Aliud Pharma GmbH & Co. KG
Centrafarm Services B.V.
Eurogenerics NV
Genus Pharmaceuticals Ltd
Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.
PharmaCoDane ApS,
STADA Arzneimittel AG
STADA Arzneimittel GmbH
Stada Production Ireland Ltd";"D
NL
B
GB
PL
E

DK
D
A
IRL"
8048;Rivastigmin Stada;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps. (4 x 7)
28 kaps. (4 x 7)
56 kaps. (8 x 7)
56 kaps. (8 x 7)";"Rp
Rp
Rp
Rp";"5909990768301
5909990768325
5909990768332
5909990768349";"Aliud Pharma GmbH & Co. KG
Centrafarm Services B.V.
Eurogenerics NV
Genus Pharmaceuticals Ltd
Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.
PharmaCoDane ApS,
STADA Arzneimittel AG
STADA Arzneimittel GmbH
Stada Production Ireland Ltd";"D
NL
B
GB
PL
E

DK
D
A
IRL"
8049;Rivastigmin Stada;Rivastigminum;kapsułki twarde;6 mg;"28 kaps. (4 x 7)
28 kaps. (4 x 7)
56 kaps. (8 x 7)
56 kaps. (8 x 7)";"Rp
Rp
Rp
Rp";"5909990768363
5909990768356
5909990768370
5909990768387";"Aliud Pharma GmbH & Co. KG
Centrafarm Services B.V.
Eurogenerics NV
Genus Pharmaceuticals Ltd
Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.
PharmaCoDane ApS,
STADA Arzneimittel AG
STADA Arzneimittel GmbH
Stada Production Ireland Ltd";"D
NL
B
GB
PL
E

DK
D
A
IRL"
8050;Rivastigmine Genthon;Rivastigminum;roztwór doustny;2 mg/ml;1 butelka 120 ml;Rp;5909990898251;"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8051;Rivastigmine Mylan;Rivastigminum;kapsułki twarde;1,5 mg;"10 kaps. 
10 kaps. w butelce
28 kaps. w blistrze
28 kaps. w butelce
30 kaps. w blistrze
30 kaps. w butelce
56 kaps. w blistrze
56 kaps. w butelce
60 kaps. w blistrze
60 kaps. w butelce
90 kaps. w blistrze
90 kaps. w butelce
112 kaps. w blistrze
112 kaps. w butelce
250 kaps. w blistrze
250 kaps. w butelce
500 kaps. w blistrze
500 kaps. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990803149
5909990803156
5909990803163
5909990803170
5909990803187
5909990803194
5909990803200
5909990803217
5909990803224
5909990803231
5909990803248
5909990803255
5909990803262
5909990803279
5909990803286
5909990803293
5909990803309
5909990803330";"Laboratorio Merck Farma y Quimica S.L.
McDermott Laboratories t/a Gerard Laboratories
Pharma-Pack Kft.";"E

IRL
H"
8052;Rivastigmine Mylan;Rivastigminum;kapsułki twarde;3 mg;"10 kaps. w blistrze
10 kaps. w butelce
28 kaps. w blistrze
28 kaps. w butelce
30 kaps. w blistrze
30 kaps. w butelce
56 kaps. w blistrze
56 kaps. w butelce
60 kaps. w blistrze
60 kaps. w butelce
90 kaps. w blistrze
90 kaps. w butelce
112 kaps. w blistrze
112 kaps. w butelce
250 kaps. w blistrze
250 kaps. w butelce
500 kaps. w blistrze
500 kaps. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990803538
5909990803545
5909990803552
5909990803569
5909990803576
5909990803583
5909990803590
5909990803606
5909990803620
5909990803637
5909990803644
5909990803651
5909990803668
5909990803675
5909990803682
5909990803699
5909990803705
5909990803729";"Laboratorio Merck Farma y Quimica S.L.
McDermott Laboratories t/a Gerard Laboratories
Pharma-Pack Kft.";"E
IRL
H"
8053;Rivastigmine Mylan;Rivastigminum;kapsułki twarde;4,5 mg;"10 kaps. w blistrze
10 kaps. w butelce
28 kaps. w blistrze
28 kaps. w butelce
30 kaps. w blistrze
30 kaps. w butelce
56 kaps. w blistrze
56 kaps. w butelce
60 kaps. w blistrze
60 kaps. w butelce
90 kaps. w blistrze
90 kaps. w butelce
112 kaps. w blistrze
112 kaps. w butelce
250 kaps. w blistrze
250 kaps. w butelce
500 kaps. w blistrze
500 kaps. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990803774
5909990803781
5909990803798
5909990803804
5909990803835
5909990803842
5909990803859
5909990803866
5909990803873
5909990803880
5909990803897
5909990803903
5909990803927
5909990803934
5909990803941
5909990803958
5909990803965
5909990803972";"Laboratorio Merck Farma y Quimica S.L.
McDermott Laboratories t/a Gerard Laboratories
Pharma-Pack Kft.";"E

IRL
H"
8054;Rivastigmine Mylan;Rivastigminum;kapsułki twarde;6 mg;"10 kaps. w blistrze
10 kaps. w butelce
28 kaps. w blistrze
28 kaps. w butelce
30 kaps. w blistrze
30 kaps. w butelce
56 kaps. w blistrze
56 kaps. w butelce
60 kaps. w blistrze
60 kaps. w butelce
90 kaps. w blistrze
90 kaps. w butelce
112 kaps. w blistrze
112 kaps. w butelce
250 kaps. w blistrze
250 kaps. w butelce
500 kaps. w blistrze
500 kaps. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990804078
5909990804085
5909990804092
5909990804108
5909990804146
5909990804153
5909990804160
5909990804177
5909990804184
5909990804191
5909990804207
5909990804245
5909990804252
5909990804269
5909990804276
5909990804283
5909990804290
5909990804306";"Laboratorio Merck Farma y Quimica S.L.
McDermott Laboratories t/a Gerard Laboratories
Pharma-Pack Kft.";"E

IRL
H"
8055;Rivastigmine Pol-Nil;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990828166
5909990828173";"Pharmathen International S.A.
Pharmathen S.A.";"GR
GR"
8056;Rivastigmine Pol-Nil;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990828180
5909990828197";"Pharmathen International S.A.
Pharmathen S.A.";"GR
GR"
8057;Rivastigmine Pol-Nil;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990828203
5909990828227";"Pharmathen International S.A.
Pharmathen S.A.";"GR
GR"
8058;Rivastigmine Pol-Nil;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990828234
5909990828241";"Pharmathen International S.A.
Pharmathen S.A.";"GR
GR"
8059;Rivastigmine-ratiopharm;Rivastigminum;kapsułki twarde;1,5 mg;"20 kaps.
30 kaps.
56 kaps.
60 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp";"5909990788088
5909990788095
5909990788101
5909990788156
5909990788163";"HBM Pharma s.r.o.
Merckle GmbH";"SK
D"
8060;Rivastigmine-ratiopharm;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
30 kaps.
56 kaps.
60 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp";"5909990788170
5909990788187
5909990788194
5909990788200
5909990788224";"HBM Pharma s.r.o.
Merckle GmbH";"SK
D"
8061;Rivastigmine-ratiopharm;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
30 kaps.
56 kaps.
60 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp";"5909990788231
5909990788248
5909990788255
5909990788262
5909990788279";"HBM Pharma s.r.o.
Merckle GmbH";"SK
D"
8062;Rivastigmine-ratiopharm;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
30 kaps.
56 kaps.
60 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp";"5909990788286
5909990788293
5909990788309
5909990788347
5909990788354";"HBM Pharma s.r.o.
Merckle GmbH";"SK
D"
8063;Rivastigmine Synthon;Rivastigminum;kapsułki twarde;1,5 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990897834
5909990897841
5909990897858
5909990897865
5909990897872
5909990897889
5909990897896
5909990897902
5909990897926";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8064;Rivastigmine Synthon;Rivastigminum;kapsułki twarde;3 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990897933
5909990897940
5909990897957
5909990897964
5909990897971
5909990897988
5909990897995
5909990898008
5909990898022";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8065;Rivastigmine Synthon;Rivastigminum;kapsułki twarde;4,5 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990898039
5909990898046
5909990898053
5909990898060
5909990898077
5909990898084
5909990898091
5909990898107
5909990898121";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8066;Rivastigmine Synthon;Rivastigminum;kapsułki twarde;6 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990898138
5909990898145
5909990898152
5909990898169
5909990898176
5909990898183
5909990898190
5909990898206
5909990898220";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8067;Rivastigmine Synthon;Rivastigminum;roztwór doustny;2 mg/ml;1 butelek 120 ml;Rp;5909990898237;"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8068;Rivastigmine Synthon Hispania;Rivastigminum;kapsułki twarde;1,5 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990901104
5909990901135
5909990901142
5909990901159
5909990901166
5909990901173
5909990901180
5909990901197
5909990901203";"Synthon BV
Synthon Hispania S.L.";"CZ
E"
8069;Rivastigmine Synthon Hispania;Rivastigminum;kapsułki twarde;3 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990901241
5909990901258
5909990901265
5909990901272
5909990901289
5909990901296
5909990901302
5909990901340
5909990901357";"Synthon BV
Synthon Hispania S.L.";"CZ
E"
8070;Rivastigmine Synthon Hispania;Rivastigminum;kapsułki twarde;4,5 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990901364
5909990901371
5909990901388
5909990901395
5909990901401
5909990901449
5909990901456
5909990901463
5909990901470";"Synthon BV
Synthon Hispania S.L.";"CZ
E"
8071;Rivastigmine Synthon Hispania;Rivastigminum;kapsułki twarde;6 mg;"7 kaps.
10 kaps.
14 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
98 kaps.
112 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990901487
5909990901494
5909990901500
5909990901524
5909990901531
5909990901548
5909990901555
5909990901562
5909990901579";"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8072;Rivastigmine Synthon Hispania;Rivastigminum;roztwór doustny;2 mg/ml;1 butelka 120 ml;Rp;5909990898244;"Synthon B.V.
Synthon Hispania S.L.";"NL
E"
8073;Rivastigmine Teva;Rivastigminum;roztwór doustny;2 mg/ml;1 butelka 120 ml;Rp;5909990764143;"AWD.pharma GmbH & Co. KG
PLIVA Kraków Zakłady Farmaceutyczne S.A.";"D
PL"
8074;Rivastigmine Teva Pharma;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
30 kaps.
56 kaps.
112 kaps.
128 kaps.";"Rpz
Rpz
Rpz
Rpz
Rpz";"5909990866250
5909990866267
5909990866274
5909990866281
5909990866298";Teva Operations Poland Sp. z o.o.;PL
8075;Rivastigmine Teva Pharma;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
30 kaps.
56 kaps.
112 kaps.
128 kaps.";"Rpz
Rpz
Rpz
Rpz
Rpz";"5909990866304
5909990866359
5909990866366
5909990866373
5909990866380";Teva Operations Poland Sp. z o.o.;PL
8076;Rivastigmine Teva Pharma;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
30 kaps.
56 kaps.
112 kaps.
128 kaps.";"Rpz
Rpz
Rpz
Rpz
Rpz";"5909990866397
5909990866403
5909990866427
5909990866434
5909990866441";Teva Operations Poland Sp. z o.o.;PL
8077;Rivastigmine Teva Pharma;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
30 kaps.
56 kaps.
112 kaps.
128 kaps.";"Rpz
Rpz
Rpz
Rpz
Rpz";"5909990866458
5909990866465
5909990866472
5909990866489
5909990866496";Teva Operations Poland Sp. z o.o.;PL
8078;Rivastigmine Teva Pharma;Rivastigminum;roztwór doustny;2 mg/ml;1 butelka 120 ml;Rp;5909990931934;"Pliva Kraków Zakłady Farmaceutyczne Spółka 
Akcyjna
TEVA Pharmaceutical Works Private Limited Company
Teva Czech Industries s.r.o.
Teva Pharmaceuticals Works Private Limited Company
Teva UK Ltd.";"PL


H

CZ

H
GB"
8079;Rivastigmine Tiefenbacher;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990862870
5909990862887";"Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.";"PL
E"
8080;Rivastigmine Tiefenbacher;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990862894
5909990862900";"Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.";"PL
E"
8081;Rivastigmine Tiefenbacher;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990862955
5909990862962";"Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.";"PL
E"
8082;Rivastigmine Tiefenbacher;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990862979
5909990862986";"Jelfa S.A.
Laboratorios Medicamentos Internationales S.A.";"PL
E"
8083;Rivastigmine Torrent;Rivastigminum;kapsułki twarde;1,5 mg;"2 kaps.
4 kaps.
10 kaps.
14 kaps.
20 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
60 kaps.
90 kaps.
98 kaps.
100 kaps.
112 kaps.
120 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990907021
5909990907038
5909990907045
5909990907052
5909990907069
5909990907076
5909990907083
5909990907090
5909990907106
5909990907120
5909990907137
5909990907144
5909990907151
5909990907168
5909990907175";Heumann Pharma GmbH & Co. Generica KG;D
8084;Rivastigmine Torrent;Rivastigminum;kapsułki twarde;3 mg;"2 kaps.
4 kaps.
10 kaps.
14 kaps.
20 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
60 kaps.
90 kaps.
98 kaps.
100 kaps.
112 kaps.
120 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990907182
5909990907199
5909990907205
5909990907236
5909990907243
5909990907250
5909990907267
5909990907274
5909990907281
5909990907298
5909990907304
5909990907328
5909990907335
5909990907342
5909990907359";Heumann Pharma GmbH & Co. Generica KG;D
8085;Rivastigmine Torrent;Rivastigminum;kapsułki twarde;4,5 mg;"2 kaps.
4 kaps.
10 kaps.
14 kaps.
20 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
60 kaps.
90 kaps.
98 kaps.
100 kaps.
112 kaps.
120 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990907366
5909990907373
5909990907380
5909990907397
5909990907403
5909990907427
5909990907434
5909990907441
5909990907458
5909990907465
5909990907472
5909990907489
5909990907496
5909990907502
5909990907526";Heumann Pharma GmbH & Co. Generica KG;D
